,Company,Year,Operating_CF,Free_CF,CapEx,Dividends,Share_Repurchases,Current_Asset,Non_Current_Asset,Total_Assets,Current_Liabilities,Total_Current_Liabilities,Non-Current_Liabilities,Total_Debt,Shareholders_Equity,Cash,Inventory,Revenue,Cost_of_Sales,Gross_Profit,Net_Income
0,Adidas,2019,2819,2221,598,664,809,10934,9746,20680,43,8754,1595,1638,7058,2220,4085,23640,11347,12293,1977
1,Adidas,2020,1486,1118,368,0,257,12154,8899,21053,686,8827,2482,3168,6691,3994,4397,18345,9213,9132,443
2,Adidas,2021,3192,2698,494,585,1000,13944,8193,22137,29,8965,2466,2495,7519,3828,4009,21234,10469,10765,2158
3,Adidas,2022,-479,-983,504,610,2500,11732,8564,20296,527,9257,2946,3473,5351,798,5973,22511,11867,10644,638
4,Adidas,2023,2630,2267,363,125,0,9809,8211,18020,549,8043,2430,2979,4925,1431,4525,21427,11244,10183,-58
5,Adidas,2024,2910,2491,419,125,0,11904,8751,20655,570,9593,1915,2485,5867,2455,4989,23683,11658,12025,832
